period,value
2007-08,4186974
2007-09,3997551
2007-10,3939821
2007-11,3921962
2007-12,3853836
2008-01,3510437
2008-02,3116073
2008-03,3056710
2008-04,2940270
2008-05,2871949
2008-06,2743336
2008-07,2641644
2008-08,2675732
2008-09,2633591
2008-10,2474846
2008-11,2432758
2008-12,2345732
2009-01,2303305
2009-02,2310322
2009-03,2360453
2009-04,2417946
2009-05,2444901
2009-06,2482691
2009-07,2481566
2009-08,2459949
2009-09,2428692
2009-10,2376360
2009-11,2337575
2009-12,2365316
2010-01,2315060
2010-02,2337098
2010-03,2420525
2010-04,2508495
2010-05,2573895
2010-06,2569098
2010-07,2656614
2010-08,2654900
2010-09,2590970
2010-10,2571819
2010-11,2526792
2010-12,2411293
2011-01,2369585
2011-02,2441735
2011-03,2455424
2011-04,2473680
2011-05,2544162
2011-06,2550720
2011-07,2611906
2011-08,2614998
2011-09,2597388
2011-10,2567505
2011-11,2500701
2011-12,2385147
2012-01,2358616
2012-02,2381172
2012-03,2413969
2012-04,2480664
2012-05,2556698
2012-06,2635475
2012-07,2681884
2012-08,2636514
2012-09,2641049
2012-10,2636826
2012-11,2590737
2012-12,2565126
2013-01,2537530
2013-02,2571993
2013-03,2661165
2013-04,2748808
2013-05,2847373
2013-06,2879204
2013-07,2906489
2013-08,2936981
2013-09,2903316
2013-10,2912243
2013-11,2879129
2013-12,2880156
2014-01,2905331
2014-02,2911205
2014-03,2911442
2014-04,3020111
2014-05,3096929
2014-06,3136096
2014-07,3070250
2014-08,3090525
2014-09,2991237
2014-10,3005906
2014-11,2990258
2014-12,2928414
2015-01,2924045
2015-02,2928213
2015-03,3006877
2015-04,3022512
2015-05,3172627
2015-06,3197125
2015-07,3260044
2015-08,3327055
2015-09,3305892
2015-10,3313910
2015-11,3306510
2015-12,3295912
2016-01,3291100
2016-02,3345921
2016-03,3504595
2016-04,3603606
2016-05,3659207
2016-06,3627894
2016-07,3664685
2016-08,3691604
2016-09,3702580
2016-10,3754806
2016-11,3721165
2016-12,3654268
2017-01,3615335
2017-02,3663999
2017-03,3734833
2017-04,3782457
2017-05,3811039
2017-06,3832987
2017-07,3851074
2017-08,3886219
2017-09,3833300
2017-10,3800047
2017-11,3722600
2017-12,3767326
2018-01,3730473
2018-02,3763533
2018-03,3852414
2018-04,4019507
2018-05,4089937
2018-06,4122380
2018-07,4135261
2018-08,4163332
2018-09,4134701
2018-10,4186342
2018-11,4154046
2018-12,4151589
2019-01,4172662
2019-02,4144110
2019-03,4233414
2019-04,4297571
2019-05,4385693
2019-06,4395246
2019-07,4372568
2019-08,4407964
2019-09,4416883
2019-10,4444856
2019-11,4413478
2019-12,4414911
2020-01,4415694
2020-02,4423348
2020-03,4235970
2020-04,3947061
2020-05,3846003
2020-06,3860077
2020-07,4046707
2020-08,4220115
2020-09,4354884
2020-10,4448857
2020-11,4460712
2020-12,4521333
2021-01,4592675
2021-02,4698348
2021-03,4950297
2021-04,5123717
2021-05,5305425
2021-06,5453486
2021-07,5607574
2021-08,5715698
2021-09,5834995
2021-10,5977537
2021-11,6001676
2021-12,6071293
2022-01,6127993
2022-02,6211131
2022-03,6365772
2022-04,6483706
2022-05,6638075
2022-06,6760060
2022-07,6840558
2022-08,7005848
2022-09,7075007
2022-10,6955458
2022-11,6929224
2022-12,7008252
2023-01,7213120
2023-02,7217871
2023-03,7331186
2023-04,7415352
2023-05,7475194
2023-06,7574649
2023-07,7674305
2023-08,7745784
2023-09,7744585
2023-10,7703867
2023-11,7613842
2023-12,7607585
2024-01,7575914
2024-02,7536907
2024-03,7538830
2024-04,7570371
2024-05,7601650
2024-06,7621297
2024-07,7623081
2024-08,7641774
2024-09,7571549
2024-10,7541371
2024-11,7479867
2024-12,7463085
2025-01,7427669
2025-02,7401153
2025-03,7418598
2025-04,7389065
2025-05,7355950
2025-06,7367836
2025-07,7299023
2025-08,7312356
2025-09,7296893
2025-10,7304189
2025-11,7159010
2025-12,7199624
2026-01,7155958
2026-02,7124952
2026-03,7014879
